region_acronym,n_neurons,n_sessions,n_probes,n_spikes_spontaneous_median,firing_rate_hz_median,local_variance_lv_median,n_timescales_median,tau_1_ms_median,tau_2_ms_median,tau_3_ms_median,tau_4_ms_median,c_1_median,c_2_median,c_3_median,c_4_median,tau_effective_ms_median,r_squared_median,ci_lower_ms_median,ci_upper_ms_median,bic_1_median,bic_2_median,bic_3_median,bic_4_median,coverage_label
PAR,694,9,9,2743.5,4.993679788003565,1.3577573408308479,2.0,21.626113072388772,329.0262321773614,3201.070465805516,2978.0677956277495,0.1875621662156557,0.02331804076974215,0.0130446843662103,0.0043598683281876,47.5910641328216,0.7445429841161165,37.63598685294639,55.56819988995167,-6345.609995369434,-6440.962758190975,-6444.405628034257,-6401.243712219343,very_high
RT,679,23,23,6026.0,12.30850124136754,0.956621472157859,2.0,42.02606389177217,859.9028632327747,2266.4921233940654,2989.909744939472,0.0947898937229521,0.0314190651707298,0.0238813202711022,0.0368816574414571,357.5471807754788,0.8458295550801234,287.63955293387664,411.7701780764168,-6078.705633255977,-6395.901383466311,-6437.294384970421,-6461.089821949399,very_high
RSPv,626,29,32,4515.0,7.6567924682066355,1.1102853968288229,2.0,29.886649299082656,745.5292498165004,2618.011060432953,2918.595284340718,0.12726701904311044,0.0229076646149294,0.0098843073115772,0.0376827403283192,133.272194032353,0.7730757807124222,104.1377277822258,160.61372338450218,-6271.331465715366,-6470.2055734248115,-6473.604657868193,-6437.790837404531,very_high
AON,624,15,15,3058.5,5.116820612343967,1.0986063030461288,2.0,35.16871990558861,919.8778901587664,2718.7538107983423,,0.15621254744933638,0.017362868563201,0.0122784596980809,,104.45675536262236,0.7450538352812305,89.77870155047395,121.00794379710112,-6206.199400805985,-6392.40626420801,-6424.921516487835,-6359.716805561038,very_high
CUL4 5,573,28,30,4229.0,7.082574782946895,0.9723087654674172,2.0,138.85693560182207,1788.8035340662618,3158.1697991531155,2912.4499688849514,0.0743213616056346,0.0303692880645249,0.022817784106257302,0.0441045845106112,1003.0663237858286,0.8320783520517605,839.7528923191667,1116.8869415253616,-6120.192924204844,-6373.193915976276,-6438.876725760754,-6426.907219607874,very_high
IC,543,24,25,2486.0,4.439551798884953,1.1293241036540074,2.0,69.91634552117138,1691.1780160196872,4113.016707271276,4628.784261486744,0.0746923361971157,0.0206247372956517,0.0187025817303801,0.147611035787804,487.1133025710109,0.7513710725162587,398.64289170444187,576.609525052755,-6217.339809734552,-6396.8991197984205,-6396.981676550877,-6383.281546521329,very_high
SIM,517,19,19,4684.0,7.96413951227102,0.9312134775184572,2.0,153.95645262777433,1643.3630648853712,3216.2362497861736,,0.0793857286513786,0.04080135365979695,0.026683098052182552,,894.086734858725,0.8729436275334492,793.0916272991615,981.6921121996518,-5950.179488059185,-6337.912549802281,-6415.983981650108,-6460.19207041634,very_high
LSr,517,23,23,2603.0,4.613092961501546,1.1083251245581232,2.0,37.93945931674922,853.6981193088504,3164.9001126501225,,0.0991592714284714,0.015862404273944,0.0072218241886260505,,121.64895238312263,0.658809182624479,93.7823397204688,148.97382076103997,-6349.149374675315,-6458.653783469856,-6506.046754062905,-6482.138552285449,very_high
PAG,501,38,40,2830.0,4.71625272335488,0.985366969605316,2.0,169.1418414270943,1818.4849746694276,3136.571540361367,,0.0641823079083593,0.025021676375227953,0.02219899445262155,,801.2202568032881,0.7986323304304421,706.6771161314808,908.8892866182988,-6140.686045074998,-6399.382726994172,-6439.9351648863885,-6447.320922186838,very_high
COPY,500,15,17,2931.5,4.885289606782148,0.9626880380944252,2.0,189.87336452861814,1621.3564599662598,2224.2962344120315,5784.797619961284,0.07953436299966266,0.047848332155133205,0.04416038829739865,0.0565400701635979,1057.3412664343462,0.9056036098326434,934.067563203748,1143.7292911160644,-5932.027647252991,-6254.869675146168,-6334.545678416492,-6307.8248851160015,very_high
LD,493,24,24,4672.0,11.1506340913477,0.9475135443504676,2.0,40.38315330480291,1137.0783028772596,3125.599554492231,,0.094681271531777,0.0201828616105698,0.0172718196577959,,307.93268964228434,0.7728140056518312,245.7732966158979,369.6247074279776,-6045.923673680917,-6222.531988131474,-6208.338844436078,-6273.360442383644,high
MD,492,22,22,3426.5,8.735016693932245,1.0009023939492505,2.0,33.206688902326135,895.3613504848556,3256.269666679644,,0.14304318995200832,0.01813802526501565,0.0113896162846953,,130.0173034246721,0.7428303148382203,102.92437040823289,154.86995695219605,-6084.287116603166,-6185.289304828578,-6202.740974254831,-6170.701558682749,high
PRE,492,10,10,3382.5,5.636899039284572,1.1598431260712365,2.0,47.00840322748074,689.9762442745155,1847.1592108966224,4479.067110868953,0.1147799392717329,0.0243016777052527,0.0095016741441055,0.0284743532893402,125.20321551549392,0.7926236243355516,99.24719301550253,144.68197659720715,-6363.051351695839,-6441.284862296854,-6492.406457600336,-6423.375485513492,high
